监测站,AQI,空气质量等级,PM2.5,PM10,首要污染物
北京农展馆,38,优,15 μg/m3,37 μg/m3,
北京昌平镇,27,优,19 μg/m3,-,
北京海淀区万柳,26,优,18 μg/m3,20 μg/m3,
北京万寿西宫,26,优,18 μg/m3,-,
北京定陵,24,优,15 μg/m3,24 μg/m3,
北京官园,24,优,17 μg/m3,-,
北京东四,23,优,16 μg/m3,-,
北京奥体中心,21,优,15 μg/m3,-,
北京顺义新城,21,优,15 μg/m3,-,
北京天坛,20,优,14 μg/m3,18 μg/m3,
北京古城,19,优,11 μg/m3,19 μg/m3,
北京怀柔镇,16,优,11 μg/m3,14 μg/m3,
上海浦东川沙,31,优,16 μg/m3,30 μg/m3,
上海青浦淀山湖,31,优,22 μg/m3,27 μg/m3,
上海静安监测站,28,优,16 μg/m3,27 μg/m3,
上海十五厂,28,优,20 μg/m3,26 μg/m3,
上海杨浦四漂,27,优,13 μg/m3,26 μg/m3,
上海普陀,24,优,17 μg/m3,-,
上海徐汇上师大,23,优,15 μg/m3,23 μg/m3,
上海虹口,20,优,5 μg/m3,20 μg/m3,
上海浦东新区监测站,20,优,10 μg/m3,20 μg/m3,
上海浦东张江,-,-,-,-,-
天津永明路,41,优,29 μg/m3,34 μg/m3,
天津中山北路,40,优,9 μg/m3,39 μg/m3,
天津第四大街,39,优,20 μg/m3,38 μg/m3,
天津大直沽八号路,34,优,8 μg/m3,33 μg/m3,
天津团泊洼(对照点),34,优,22 μg/m3,33 μg/m3,
天津河西一经路,30,优,10 μg/m3,29 μg/m3,
天津前进道,29,优,16 μg/m3,28 μg/m3,
天津西四道,28,优,20 μg/m3,-,
天津勤俭道,26,优,16 μg/m3,25 μg/m3,
天津汉北路,21,优,15 μg/m3,-,
天津津沽路,20,优,14 μg/m3,17 μg/m3,
天津宾水西道,19,优,13 μg/m3,19 μg/m3,
天津大理道,-,-,-,-,-
天津淮河道,-,-,-,-,-
天津跃进路,-,-,-,-,-
重庆礼嘉,71,良,38 μg/m3,90 μg/m3,PM10
重庆缙云山（对照点）,55,良,38 μg/m3,44 μg/m3,PM2.5
重庆天生,55,良,31 μg/m3,58 μg/m3,PM10
重庆上清寺,53,良,22 μg/m3,54 μg/m3,PM10
重庆唐家沱,53,良,26 μg/m3,55 μg/m3,PM10
重庆空港,52,良,36 μg/m3,53 μg/m3,PM10
重庆龙井湾,50,优,30 μg/m3,49 μg/m3,
重庆两路,49,优,30 μg/m3,48 μg/m3,
重庆蔡家,46,优,24 μg/m3,45 μg/m3,
重庆南坪,44,优,16 μg/m3,43 μg/m3,
重庆歇台子,40,优,22 μg/m3,39 μg/m3,
重庆新山村,40,优,19 μg/m3,39 μg/m3,
重庆虎溪,39,优,17 μg/m3,38 μg/m3,
重庆龙洲湾,30,优,12 μg/m3,29 μg/m3,
重庆白市驿,29,优,17 μg/m3,28 μg/m3,
重庆茶园,24,优,14 μg/m3,24 μg/m3,
重庆鱼新街,21,优,11 μg/m3,21 μg/m3,
广州广雅中学,69,良,41 μg/m3,86 μg/m3,PM10
广州市五中,62,良,44 μg/m3,61 μg/m3,PM2.5
广州市监测站,61,良,43 μg/m3,70 μg/m3,PM10
广州麓湖,56,良,38 μg/m3,61 μg/m3,PM10
广州九龙镇镇龙,55,良,33 μg/m3,59 μg/m3,PM10
广州番禺中学,53,良,32 μg/m3,55 μg/m3,PM10
广州花都师范,53,良,37 μg/m3,54 μg/m3,PM10
广州体育西,53,良,33 μg/m3,54 μg/m3,PM10
广州市八十六中,47,优,29 μg/m3,46 μg/m3,
广州帽峰山森林公园,43,优,29 μg/m3,42 μg/m3,
广州广东商学院,-,-,-,-,-
南京瑞金路,54,良,30 μg/m3,56 μg/m3,PM10
南京山西路,50,优,35 μg/m3,-,
南京中华门,48,优,17 μg/m3,47 μg/m3,
南京浦口,34,优,24 μg/m3,28 μg/m3,
南京奥体中心,23,优,10 μg/m3,23 μg/m3,
南京迈皋桥,23,优,16 μg/m3,19 μg/m3,
南京仙林大学城,22,优,14 μg/m3,22 μg/m3,
南京草场门,14,优,10 μg/m3,10 μg/m3,
南京玄武湖,13,优,9 μg/m3,10 μg/m3,
杭州城厢镇,53,良,25 μg/m3,54 μg/m3,PM10
杭州朝晖五区,43,优,23 μg/m3,42 μg/m3,
杭州滨江,41,优,18 μg/m3,40 μg/m3,
杭州临平镇,40,优,16 μg/m3,39 μg/m3,
杭州浙江农大,40,优,18 μg/m3,39 μg/m3,
杭州和睦小学,37,优,18 μg/m3,36 μg/m3,
杭州下沙,37,优,20 μg/m3,36 μg/m3,
杭州卧龙桥,34,优,18 μg/m3,33 μg/m3,
杭州西溪,32,优,11 μg/m3,31 μg/m3,
杭州云栖,30,优,16 μg/m3,29 μg/m3,
杭州千岛湖,23,优,16 μg/m3,23 μg/m3,
鞍山铁西工业园区,55,良,38 μg/m3,51 μg/m3,PM2.5
鞍山明达新区,53,良,32 μg/m3,55 μg/m3,PM10
鞍山深沟寺,53,良,37 μg/m3,48 μg/m3,PM2.5
鞍山铁西三道街,52,良,34 μg/m3,52 μg/m3,PM10
鞍山太阳城,51,良,31 μg/m3,50 μg/m3,PM10
鞍山千山,28,优,15 μg/m3,27 μg/m3,
鞍山太平,-,-,-,-,-
安庆大学(191227更为评价点),69,良,50 μg/m3,58 μg/m3,PM2.5
安庆环科院,68,良,44 μg/m3,85 μg/m3,PM10
安庆马山宾馆,68,良,48 μg/m3,84 μg/m3,PM10
安庆市人大,64,良,46 μg/m3,71 μg/m3,PM2.5
安顺娄家坡,38,优,26 μg/m3,37 μg/m3,
安顺伍家关(对照点),37,优,26 μg/m3,28 μg/m3,
安顺凤凰山,33,优,23 μg/m3,32 μg/m3,
安顺金钟山,-,-,-,-,-
安阳安钢职工学校,59,良,16 μg/m3,66 μg/m3,PM10
安阳信访局,49,优,11 μg/m3,48 μg/m3,
安阳银杏小区,45,优,16 μg/m3,44 μg/m3,
安阳棉研所(对照点),42,优,15 μg/m3,41 μg/m3,
安阳红庙街,37,优,13 μg/m3,36 μg/m3,
安康汉滨区检察院,48,优,34 μg/m3,37 μg/m3,
安康市监测站,37,优,26 μg/m3,36 μg/m3,
安康香溪洞,30,优,21 μg/m3,23 μg/m3,
阿坝州州农科所,26,优,18 μg/m3,18 μg/m3,
阿坝州州监测站,17,优,7 μg/m3,17 μg/m3,
阿坝州马师校,10,优,6 μg/m3,10 μg/m3,
阿克苏地区艺术中心,127,轻度污染,49 μg/m3,202 μg/m3,PM10
阿克苏地区电视台,118,轻度污染,47 μg/m3,185 μg/m3,PM10
阿拉善盟环保局新楼,17,优,12 μg/m3,14 μg/m3,
阿拉善盟盟环保楼,15,优,10 μg/m3,15 μg/m3,
阿拉善盟体育场,10,优,7 μg/m3,9 μg/m3,
阿勒泰地区市站,17,优,6 μg/m3,17 μg/m3,
阿勒泰地区小东沟,14,优,10 μg/m3,-,
阿里地区藏医院,43,优,15 μg/m3,42 μg/m3,
阿里地区阿里监测站,27,优,5 μg/m3,26 μg/m3,
宝鸡庙沟村,68,良,13 μg/m3,85 μg/m3,PM10
宝鸡陈仓环保局,43,优,13 μg/m3,42 μg/m3,
宝鸡文理学院,41,优,11 μg/m3,40 μg/m3,
宝鸡监测站,38,优,13 μg/m3,37 μg/m3,
宝鸡技工学校,36,优,10 μg/m3,35 μg/m3,
宝鸡竹园沟,29,优,11 μg/m3,28 μg/m3,
宝鸡三迪小学,19,优,13 μg/m3,-,
宝鸡三陆医院,-,-,-,-,-
包头东河城环局,67,良,22 μg/m3,82 μg/m3,PM10
包头市环境监测站,40,优,12 μg/m3,39 μg/m3,
包头青山宾馆,37,优,20 μg/m3,36 μg/m3,
包头东河鸿龙湾,36,优,16 μg/m3,35 μg/m3,
包头昆区政府,24,优,7 μg/m3,24 μg/m3,
包头惠龙物流,-,-,-,-,-
保定地表水厂,47,优,13 μg/m3,46 μg/m3,
保定胶片厂,41,优,13 μg/m3,40 μg/m3,
保定监测站,40,优,14 μg/m3,39 μg/m3,
保定接待中心,39,优,13 μg/m3,38 μg/m3,
保定游泳馆,36,优,16 μg/m3,35 μg/m3,
保定华电二区,33,优,17 μg/m3,32 μg/m3,
白城市环保局,6,优,4 μg/m3,5 μg/m3,
白城洮北区环保局,13,优,9 μg/m3,-,
蚌埠学院,95,良,71 μg/m3,123 μg/m3,PM2.5
蚌埠百货大楼,77,良,-,103 μg/m3,PM10
蚌埠工人疗养院,105,轻度污染,79 μg/m3,107 μg/m3,PM2.5
蚌埠田家炳中学,103,轻度污染,77 μg/m3,122 μg/m3,PM2.5
蚌埠高新区,102,轻度污染,76 μg/m3,117 μg/m3,PM2.5
蚌埠淮上区政府,102,轻度污染,76 μg/m3,116 μg/m3,PM2.5
本溪大峪,58,良,26 μg/m3,64 μg/m3,PM10
本溪溪湖,41,优,27 μg/m3,40 μg/m3,
本溪东明,33,优,8 μg/m3,32 μg/m3,
本溪彩屯,32,优,18 μg/m3,31 μg/m3,
本溪新立屯,19,优,13 μg/m3,16 μg/m3,
本溪威宁,-,-,-,-,-
白山环保局,32,优,7 μg/m3,31 μg/m3,
白山喜丰,17,优,8 μg/m3,17 μg/m3,
白银豫源饭店,24,优,13 μg/m3,24 μg/m3,
白银动力公司,16,优,5 μg/m3,16 μg/m3,
亳州污水处理厂,57,良,36 μg/m3,63 μg/m3,PM10
亳州三国揽胜宫,49,优,34 μg/m3,48 μg/m3,
保山市环境监测站,21,优,15 μg/m3,-,
保山市环保局,11,优,8 μg/m3,-,
巴中职业中学,50,优,35 μg/m3,48 μg/m3,
巴中丽阳花园,41,优,29 μg/m3,39 μg/m3,
巴中圣泉水务公司,35,优,24 μg/m3,34 μg/m3,
巴中苏山坪,30,优,21 μg/m3,23 μg/m3,
北海牛尾岭水库,74,良,54 μg/m3,78 μg/m3,PM2.5
北海新市环保局,68,良,49 μg/m3,70 μg/m3,PM2.5
北海海滩公园,67,良,48 μg/m3,65 μg/m3,PM2.5
北海工业园,-,-,-,-,-
毕节师专,64,良,46 μg/m3,58 μg/m3,PM2.5
毕节八中,59,良,42 μg/m3,55 μg/m3,PM2.5
滨州第二水厂,36,优,11 μg/m3,35 μg/m3,
滨州北中新校,19,优,3 μg/m3,19 μg/m3,
滨州市环保局,18,优,8 μg/m3,18 μg/m3,
百色市中心血站,37,优,26 μg/m3,32 μg/m3,
百色市监测站,34,优,21 μg/m3,33 μg/m3,
博州市环保局,59,良,18 μg/m3,66 μg/m3,PM10
博州博乐市西郊区,49,优,11 μg/m3,48 μg/m3,
巴彦淖尔附中,31,优,10 μg/m3,30 μg/m3,
巴彦淖尔市环保大楼,30,优,12 μg/m3,29 μg/m3,
巴彦淖尔秋林养殖基地,24,优,17 μg/m3,-,
成都大石西路,66,良,41 μg/m3,80 μg/m3,PM10
成都十里店,63,良,45 μg/m3,67 μg/m3,PM2.5
成都沙河铺,57,良,36 μg/m3,63 μg/m3,PM10
成都君平街,55,良,37 μg/m3,58 μg/m3,PM10
成都三瓦窑,52,良,36 μg/m3,47 μg/m3,PM2.5
成都龙泉驿区区政府,46,优,32 μg/m3,40 μg/m3,
成都金泉两河,44,优,30 μg/m3,43 μg/m3,
成都灵岩寺,34,优,21 μg/m3,33 μg/m3,
长春甩湾子,32,优,14 μg/m3,31 μg/m3,
长春邮电学院,31,优,9 μg/m3,30 μg/m3,
长春食品厂,24,优,11 μg/m3,24 μg/m3,
长春岱山公园,17,优,11 μg/m3,17 μg/m3,
长春劳动公园,17,优,8 μg/m3,17 μg/m3,
长春经开区环卫处,16,优,9 μg/m3,16 μg/m3,
长春园林处,16,优,11 μg/m3,16 μg/m3,
长春高新区管委会,14,优,10 μg/m3,11 μg/m3,
长春净月潭,13,优,8 μg/m3,13 μg/m3,
长春客车厂,-,-,-,-,-
承德铁路,52,良,17 μg/m3,53 μg/m3,PM10
承德中国银行,45,优,12 μg/m3,44 μg/m3,
承德文化中心,35,优,16 μg/m3,34 μg/m3,
承德开发区,34,优,19 μg/m3,33 μg/m3,
承德离宫,31,优,20 μg/m3,30 μg/m3,
沧州市环保局,41,优,18 μg/m3,40 μg/m3,
沧州电视转播站,36,优,10 μg/m3,35 μg/m3,
沧州沧县城建局,-,-,-,-,-
赤峰银河街,43,优,16 μg/m3,42 μg/m3,
赤峰哈达街,18,优,7 μg/m3,18 μg/m3,
赤峰松山一中,16,优,3 μg/m3,16 μg/m3,
赤峰天义路,11,优,6 μg/m3,11 μg/m3,
常州钟楼,46,优,32 μg/m3,37 μg/m3,
常州经开区,43,优,28 μg/m3,42 μg/m3,
常州市监测站,43,优,25 μg/m3,42 μg/m3,
常州行政中心,35,优,21 μg/m3,34 μg/m3,
常州安家,27,优,19 μg/m3,26 μg/m3,
常州武进监测站,-,-,-,-,-
常德鼎城区玉霞,56,良,29 μg/m3,60 μg/m3,PM10
常德市二中,56,良,28 μg/m3,61 μg/m3,PM10
常德武陵区长庚,51,良,23 μg/m3,50 μg/m3,PM10
常德白鹤山,34,优,17 μg/m3,33 μg/m3,
常德武陵区永安,-,-,-,-,-
长沙沙坪,78,良,57 μg/m3,63 μg/m3,PM2.5
长沙马坡岭,69,良,50 μg/m3,-,PM2.5
长沙天心区环保局,65,良,47 μg/m3,69 μg/m3,PM2.5
长沙伍家岭,62,良,44 μg/m3,64 μg/m3,PM2.5
长沙雨花区环保局,61,良,43 μg/m3,60 μg/m3,PM2.5
长沙火车新站,58,良,38 μg/m3,65 μg/m3,PM10
长沙高开区环保局,57,良,40 μg/m3,41 μg/m3,PM2.5
长沙湖南中医药大学,56,良,33 μg/m3,61 μg/m3,PM10
长沙经开区环保局,53,良,37 μg/m3,47 μg/m3,PM2.5
长沙湖南师范大学,102,轻度污染,76 μg/m3,-,PM2.5
常熟海虞子站,33,优,16 μg/m3,32 μg/m3,
常熟菱塘子站,33,优,18 μg/m3,32 μg/m3,
常熟兴福子站,27,优,18 μg/m3,26 μg/m3,
长治监测站,74,良,54 μg/m3,79 μg/m3,PM2.5
长治八中,73,良,53 μg/m3,90 μg/m3,PM2.5
长治德盛苑,71,良,52 μg/m3,65 μg/m3,PM2.5
长治审计局,64,良,43 μg/m3,77 μg/m3,PM10
长治清华站,62,良,40 μg/m3,73 μg/m3,PM10
朝阳八里堡,50,优,11 μg/m3,49 μg/m3,
朝阳西梁,43,优,10 μg/m3,42 μg/m3,
朝阳河畔小区,30,优,7 μg/m3,29 μg/m3,
朝阳农业园区,22,优,9 μg/m3,22 μg/m3,
潮州西园路,41,优,29 μg/m3,32 μg/m3,
潮州档案局,34,优,24 μg/m3,33 μg/m3,
潮州市政府,34,优,20 μg/m3,33 μg/m3,
郴州市职中,67,良,48 μg/m3,59 μg/m3,PM2.5
郴州市环保局,62,良,44 μg/m3,50 μg/m3,PM2.5
郴州兴隆步行街,62,良,44 μg/m3,61 μg/m3,PM2.5
郴州马头岭,60,良,42 μg/m3,68 μg/m3,PM10
郴州市审计局,57,良,40 μg/m3,59 μg/m3,PM2.5
池州平天湖(对照点),68,良,49 μg/m3,74 μg/m3,PM2.5
池州学院,55,良,38 μg/m3,54 μg/m3,PM2.5
池州展览馆,41,优,29 μg/m3,38 μg/m3,
崇左市环保局江州分局,62,良,38 μg/m3,72 μg/m3,PM10
崇左城南新区,53,良,35 μg/m3,54 μg/m3,PM10
滁州人大宾馆,36,优,25 μg/m3,-,
滁州老年大学,27,优,19 μg/m3,21 μg/m3,
滁州市政府原办公楼,21,优,15 μg/m3,20 μg/m3,
昌吉州州监测站,43,优,23 μg/m3,42 μg/m3,
昌吉州新区政务中心,40,优,3 μg/m3,39 μg/m3,
昌吉州天山天池,-,-,-,-,-
楚雄州州环境监测站,17,优,12 μg/m3,16 μg/m3,
楚雄州市经济开发区,16,优,11 μg/m3,11 μg/m3,
昌都监测站,36,优,10 μg/m3,35 μg/m3,
昌都会议中心,31,优,10 μg/m3,30 μg/m3,
大连甘井子,37,优,25 μg/m3,36 μg/m3,
大连开发区,24,优,14 μg/m3,24 μg/m3,
大连七贤岭,24,优,8 μg/m3,24 μg/m3,
大连双D港,23,优,16 μg/m3,16 μg/m3,
大连金州,22,优,12 μg/m3,22 μg/m3,
大连青泥洼桥,19,优,12 μg/m3,19 μg/m3,
大连周水子,19,优,12 μg/m3,19 μg/m3,
大连星海三站,18,优,9 μg/m3,18 μg/m3,
大连傅家庄,16,优,8 μg/m3,16 μg/m3,
大连旅顺,16,优,10 μg/m3,16 μg/m3,
大同大学,63,良,31 μg/m3,74 μg/m3,PM10
大同安家小村,58,良,22 μg/m3,65 μg/m3,PM10
大同果树场(对照点),51,良,22 μg/m3,51 μg/m3,PM10
大同第二人民医院,43,优,23 μg/m3,42 μg/m3,
大同云冈宾馆,36,优,23 μg/m3,35 μg/m3,
大同教育学院,-,-,-,-,-
东莞东城石井,68,良,49 μg/m3,-,PM2.5
东莞南城西平,61,良,43 μg/m3,46 μg/m3,PM2.5
东莞东城主山,55,良,38 μg/m3,39 μg/m3,PM2.5
东莞南城元岭,50,优,35 μg/m3,36 μg/m3,
东莞莞城梨川,48,优,34 μg/m3,36 μg/m3,
丹东临江后街,7,优,4 μg/m3,7 μg/m3,
丹东民主桥,14,优,6 μg/m3,14 μg/m3,
丹东元宝山,13,优,6 μg/m3,13 μg/m3,
丹东江湾东路,11,优,4 μg/m3,11 μg/m3,
德州九衢泉纯净水厂,46,优,19 μg/m3,45 μg/m3,
德州儿童乐园,41,优,7 μg/m3,40 μg/m3,
德州监理站,37,优,11 μg/m3,36 μg/m3,
东营开发区管委会,46,优,22 μg/m3,45 μg/m3,
东营耿井村,44,优,12 μg/m3,43 μg/m3,
东营市环保局,40,优,9 μg/m3,39 μg/m3,
东营西城阳光环保公司,23,优,5 μg/m3,23 μg/m3,
大庆大同区,28,优,8 μg/m3,27 μg/m3,
大庆让胡路区,24,优,6 μg/m3,24 μg/m3,
大庆萨尔图区,20,优,6 μg/m3,20 μg/m3,
大庆红岗区,16,优,5 μg/m3,16 μg/m3,
大庆龙凤区,15,优,-,15 μg/m3,
大理州大理古城,7,优,4 μg/m3,7 μg/m3,
大理州大理市环境监测站,10,优,7 μg/m3,-,
大兴安岭地区公安局,6,优,4 μg/m3,5 μg/m3,
大兴安岭地区红旗社区,27,优,7 μg/m3,26 μg/m3,
达州市环境监测站,95,良,71 μg/m3,101 μg/m3,PM2.5
达州市政中心,90,良,67 μg/m3,120 μg/m3,PM2.5
达州达县机关宾馆,84,良,62 μg/m3,108 μg/m3,PM2.5
达州职业技术学院,57,良,40 μg/m3,58 μg/m3,PM2.5
达州凤凰小区,107,轻度污染,80 μg/m3,101 μg/m3,PM2.5
德宏州芒市人民政府综合楼,33,优,15 μg/m3,32 μg/m3,
德宏州监测站,29,优,9 μg/m3,28 μg/m3,
德阳耐火材料厂,57,良,33 μg/m3,63 μg/m3,PM10
德阳东山公园,55,良,24 μg/m3,59 μg/m3,PM10
德阳西小区,53,良,26 μg/m3,55 μg/m3,PM10
德阳市检察院,49,优,30 μg/m3,48 μg/m3,
定西南峰招待所（原起重机厂）,24,优,6 μg/m3,24 μg/m3,
定西监测站（原粮食局）,18,优,6 μg/m3,18 μg/m3,
迪庆州站,12,优,8 μg/m3,12 μg/m3,
迪庆州质量技术监督局,11,优,8 μg/m3,10 μg/m3,
鄂尔多斯巴音孟克林场办事处,32,优,17 μg/m3,31 μg/m3,
鄂尔多斯奥林花园,19,优,9 μg/m3,19 μg/m3,
鄂尔多斯综合楼,18,优,6 μg/m3,18 μg/m3,
鄂尔多斯华泰汽车城,16,优,9 μg/m3,16 μg/m3,
鄂尔多斯康泽苑,13,优,6 μg/m3,13 μg/m3,
鄂州赵家坝,67,良,30 μg/m3,83 μg/m3,PM10
鄂州凡口开发区,57,良,27 μg/m3,63 μg/m3,PM10
鄂州市政府,53,良,18 μg/m3,55 μg/m3,PM10
恩施州湖北民院,60,良,42 μg/m3,68 μg/m3,PM10
恩施州州电力总公司,60,良,34 μg/m3,69 μg/m3,PM10
福州鼓山,38,优,18 μg/m3,37 μg/m3,
福州五四北路,37,优,26 μg/m3,31 μg/m3,
福州师大,30,优,21 μg/m3,28 μg/m3,
福州杨桥西路,29,优,15 μg/m3,28 μg/m3,
福州九龙,28,优,20 μg/m3,21 μg/m3,
福州紫阳,24,优,17 μg/m3,21 μg/m3,
抚顺新抚区,62,良,44 μg/m3,44 μg/m3,PM2.5
抚顺顺城区,58,良,41 μg/m3,43 μg/m3,PM2.5
抚顺沈抚新城,57,良,40 μg/m3,53 μg/m3,PM2.5
抚顺东洲区,56,良,39 μg/m3,52 μg/m3,PM2.5
抚顺望花区,56,良,39 μg/m3,54 μg/m3,PM2.5
抚顺大伙房水库,52,良,36 μg/m3,41 μg/m3,PM2.5
阜阳开发区,70,良,42 μg/m3,88 μg/m3,PM10
阜阳市监测站,66,良,40 μg/m3,81 μg/m3,PM10
阜阳职业技术学院,55,良,18 μg/m3,58 μg/m3,PM10
富阳监测站,50,优,23 μg/m3,49 μg/m3,
富阳富春二小,-,-,-,-,-
佛山高明孔堂,84,良,62 μg/m3,102 μg/m3,PM2.5
佛山三水监测站,67,良,44 μg/m3,82 μg/m3,PM10
佛山三水云东海,67,良,48 μg/m3,76 μg/m3,PM2.5
佛山南海气象局,65,良,41 μg/m3,79 μg/m3,PM10
佛山华材职中,64,良,43 μg/m3,77 μg/m3,PM10
佛山湾梁,64,良,35 μg/m3,76 μg/m3,PM10
佛山容桂街道办,61,良,38 μg/m3,70 μg/m3,PM10
佛山顺德苏岗,57,良,38 μg/m3,62 μg/m3,PM10
阜新东苑,47,优,18 μg/m3,46 μg/m3,
阜新工业园区,42,优,19 μg/m3,41 μg/m3,
阜新农业园区,35,优,17 μg/m3,34 μg/m3,
阜新玉龙新城,35,优,12 μg/m3,34 μg/m3,
阜新长青街,22,优,10 μg/m3,22 μg/m3,
抚州血防站,47,优,25 μg/m3,46 μg/m3,
抚州桐源党溪,46,优,32 μg/m3,45 μg/m3,
抚州医学分院,46,优,23 μg/m3,45 μg/m3,
抚州采茶剧团,44,优,31 μg/m3,42 μg/m3,
抚州市站,44,优,29 μg/m3,43 μg/m3,
防城港大海花园,75,良,55 μg/m3,99 μg/m3,PM10
防城港防城镇政府,71,良,52 μg/m3,76 μg/m3,PM2.5
防城港沙万,67,良,47 μg/m3,83 μg/m3,PM10
广安广电花园,43,优,27 μg/m3,42 μg/m3,
广安友谊中学,40,优,20 μg/m3,39 μg/m3,
广安市委,28,优,20 μg/m3,27 μg/m3,
广安小平旧居,27,优,19 μg/m3,26 μg/m3,
广安北辰小学,14,优,10 μg/m3,-,
广元老城,43,优,24 μg/m3,42 μg/m3,
广元南坝,31,优,19 μg/m3,30 μg/m3,
广元监测站,22,优,15 μg/m3,22 μg/m3,
