监测站,AQI,空气质量等级,PM2.5,PM10,首要污染物
广元黑石坡,20,优,14 μg/m3,20 μg/m3,
桂林监测站,68,良,49 μg/m3,76 μg/m3,PM2.5
桂林八中,67,良,39 μg/m3,82 μg/m3,PM10
桂林龙隐路小学,63,良,41 μg/m3,74 μg/m3,PM10
桂林电子科大尧山校区,52,良,36 μg/m3,48 μg/m3,PM2.5
贵阳碧云窝,61,良,39 μg/m3,71 μg/m3,PM10
贵阳太慈桥,59,良,36 μg/m3,67 μg/m3,PM10
贵阳燕子冲,59,良,42 μg/m3,59 μg/m3,PM2.5
贵阳桐木岭,58,良,41 μg/m3,52 μg/m3,PM2.5
贵阳鉴湖路,57,良,30 μg/m3,63 μg/m3,PM10
贵阳红边门,56,良,39 μg/m3,57 μg/m3,PM2.5
贵阳市环保站,53,良,31 μg/m3,54 μg/m3,PM10
贵阳新华路,53,良,34 μg/m3,55 μg/m3,PM10
贵阳马鞍山,52,良,34 μg/m3,52 μg/m3,PM10
贵阳中院村,52,良,36 μg/m3,52 μg/m3,PM10
赣州华坚鞋城,62,良,43 μg/m3,73 μg/m3,PM10
赣州气象台,57,良,40 μg/m3,51 μg/m3,PM2.5
赣州地委,56,良,38 μg/m3,60 μg/m3,PM10
赣州市图书馆,56,良,39 μg/m3,59 μg/m3,PM2.5
赣州通天岩,55,良,38 μg/m3,47 μg/m3,PM2.5
贵港江南子站,79,良,58 μg/m3,104 μg/m3,PM2.5
贵港贵城子站,71,良,52 μg/m3,87 μg/m3,PM2.5
贵港德智高中,64,良,46 μg/m3,59 μg/m3,PM2.5
贵港荷城子站,64,良,46 μg/m3,59 μg/m3,PM2.5
固原马园,27,优,6 μg/m3,26 μg/m3,
固原新区,16,优,6 μg/m3,16 μg/m3,
固原监测站,10,优,7 μg/m3,10 μg/m3,
甘孜州水桥子,8,优,2 μg/m3,8 μg/m3,
甘孜州州环保局,20,优,2 μg/m3,20 μg/m3,
甘南州监测站,19,优,7 μg/m3,19 μg/m3,
果洛州玛沁县大武镇,15,优,9 μg/m3,15 μg/m3,
哈尔滨平房东轻厂,9,优,6 μg/m3,9 μg/m3,
哈尔滨南岗学府路,7,优,5 μg/m3,-,
哈尔滨香坊红旗大街,19,优,13 μg/m3,16 μg/m3,
哈尔滨道外承德广场,18,优,10 μg/m3,18 μg/m3,
哈尔滨道里建国路,16,优,10 μg/m3,16 μg/m3,
哈尔滨动力和平路,14,优,-,14 μg/m3,
哈尔滨省农科院,14,优,10 μg/m3,13 μg/m3,
哈尔滨呼兰师专,13,优,6 μg/m3,13 μg/m3,
哈尔滨松北商大,13,优,6 μg/m3,13 μg/m3,
哈尔滨太平宏伟公园,13,优,9 μg/m3,12 μg/m3,
哈尔滨岭北(对照点),10,优,6 μg/m3,10 μg/m3,
哈尔滨阿城会宁,1,优,1 μg/m3,-,
合肥庐阳区,88,良,66 μg/m3,114 μg/m3,PM2.5
合肥包河区,87,良,65 μg/m3,106 μg/m3,PM2.5
合肥瑶海区,87,良,65 μg/m3,106 μg/m3,PM2.5
合肥高新区,86,良,64 μg/m3,84 μg/m3,PM2.5
合肥滨湖新区,81,良,50 μg/m3,111 μg/m3,PM10
合肥董铺水库,80,良,59 μg/m3,69 μg/m3,PM2.5
合肥琥珀山庄,80,良,59 μg/m3,94 μg/m3,PM2.5
合肥三里街,78,良,57 μg/m3,99 μg/m3,PM2.5
合肥长江中路,77,良,56 μg/m3,103 μg/m3,PM10
合肥明珠广场,75,良,55 μg/m3,93 μg/m3,PM2.5
呼和浩特红旗小学,58,良,25 μg/m3,65 μg/m3,PM10
呼和浩特工大金川校区,53,良,23 μg/m3,55 μg/m3,PM10
呼和浩特化肥厂生活区,52,良,22 μg/m3,52 μg/m3,PM10
呼和浩特小召,47,优,19 μg/m3,46 μg/m3,
呼和浩特海东办,41,优,12 μg/m3,40 μg/m3,
呼和浩特二十九中,40,优,17 μg/m3,39 μg/m3,
呼和浩特呼市一监,30,优,21 μg/m3,-,
呼和浩特如意水处理厂,-,-,-,-,-
海口龙华路环保局宿舍,52,良,22 μg/m3,52 μg/m3,PM10
海口东寨港,46,优,25 μg/m3,45 μg/m3,
海口海南师范大学,46,优,28 μg/m3,45 μg/m3,
海口海南大学,43,优,22 μg/m3,42 μg/m3,
海口秀英海南医院,38,优,27 μg/m3,36 μg/m3,
邯郸丛台公园,53,良,37 μg/m3,51 μg/m3,PM2.5
邯郸东污水处理厂,46,优,23 μg/m3,45 μg/m3,
邯郸环保局,46,优,29 μg/m3,45 μg/m3,
邯郸矿院,-,-,-,-,-
衡水市城管局,44,优,15 μg/m3,43 μg/m3,
衡水市监测站,34,优,17 μg/m3,33 μg/m3,
衡水电机北厂,32,优,16 μg/m3,31 μg/m3,
海门社会福利院,27,优,8 μg/m3,26 μg/m3,
海门市监测站,22,优,10 μg/m3,22 μg/m3,
海北州海晏县西海镇,32,优,19 μg/m3,31 μg/m3,
海东地区平安高铁新区,38,优,20 μg/m3,37 μg/m3,
海南州共和县恰卜恰镇,17,优,12 μg/m3,17 μg/m3,
海西州德令哈市,39,优,12 μg/m3,38 μg/m3,
哈密地区地区监测站,26,优,8 μg/m3,25 μg/m3,
哈密地区哈密师范学校,22,优,8 μg/m3,22 μg/m3,
汉中市监测站,55,良,21 μg/m3,58 μg/m3,PM10
汉中南郑大河坎水厂,52,良,21 μg/m3,52 μg/m3,PM10
汉中鑫源开发区,51,良,22 μg/m3,51 μg/m3,PM10
汉中汉川机床厂子校,28,优,20 μg/m3,24 μg/m3,
鹤壁市交警支队,49,优,18 μg/m3,48 μg/m3,
鹤壁迎宾馆,42,优,23 μg/m3,41 μg/m3,
鹤壁市监测站,40,优,17 μg/m3,39 μg/m3,
河池市环保站,52,良,27 μg/m3,52 μg/m3,PM10
河池市疾控中心,51,良,29 μg/m3,50 μg/m3,PM10
河池东仁乐园,41,优,29 μg/m3,36 μg/m3,
鹤岗斯达机电,21,优,15 μg/m3,18 μg/m3,
鹤岗五号水库,14,优,7 μg/m3,14 μg/m3,
鹤岗哈啤分公司,13,优,7 μg/m3,13 μg/m3,
鹤岗东山纸板厂,11,优,6 μg/m3,11 μg/m3,
黑河党校,8,优,5 μg/m3,8 μg/m3,
黑河交通局,15,优,5 μg/m3,15 μg/m3,
黑河地震局,12,优,8 μg/m3,12 μg/m3,
湖州仁皇山新区,41,优,14 μg/m3,40 μg/m3,
湖州吴兴区站,39,优,17 μg/m3,38 μg/m3,
湖州城西水厂,31,优,13 μg/m3,30 μg/m3,
衡阳市监测站,64,良,46 μg/m3,65 μg/m3,PM2.5
衡阳珠晖区环保局,64,良,-,76 μg/m3,PM10
衡阳原169医院,61,良,34 μg/m3,70 μg/m3,PM10
衡阳市委党校,59,良,34 μg/m3,67 μg/m3,PM10
衡阳真空机电公司,59,良,-,66 μg/m3,PM10
衡阳化工总厂,57,良,-,62 μg/m3,PM10
和田地区地区环保局,118,轻度污染,70 μg/m3,185 μg/m3,PM10
和田地区市环保局,112,轻度污染,32 μg/m3,172 μg/m3,PM10
河源老城,46,优,32 μg/m3,34 μg/m3,
河源东埔,44,优,25 μg/m3,43 μg/m3,
河源源西,34,优,22 μg/m3,33 μg/m3,
菏泽市气象局,41,优,19 μg/m3,40 μg/m3,
菏泽学院,34,优,9 μg/m3,33 μg/m3,
菏泽市政协,30,优,8 μg/m3,29 μg/m3,
贺州环保小区,64,良,40 μg/m3,77 μg/m3,PM10
贺州政协大楼,62,良,44 μg/m3,73 μg/m3,PM10
红河州污水处理厂,69,良,50 μg/m3,68 μg/m3,PM2.5
红河州州图书馆,64,良,46 μg/m3,66 μg/m3,PM2.5
红河州监测站,62,良,44 μg/m3,61 μg/m3,PM2.5
淮安市监测站,38,优,27 μg/m3,-,
淮安北京南路,37,优,26 μg/m3,32 μg/m3,
淮安淮阴区监测站,37,优,26 μg/m3,26 μg/m3,
淮安钵池山,33,优,23 μg/m3,30 μg/m3,
淮安楚州区监测站,27,优,19 μg/m3,23 μg/m3,
淮北职业技术学院,76,良,56 μg/m3,75 μg/m3,PM2.5
淮北监测站,70,良,51 μg/m3,86 μg/m3,PM2.5
淮北烈山区政府,68,良,49 μg/m3,70 μg/m3,PM2.5
怀化市四医院,67,良,37 μg/m3,82 μg/m3,PM10
怀化市委党校,67,良,39 μg/m3,82 μg/m3,PM10
怀化监测楼,66,良,28 μg/m3,81 μg/m3,PM10
怀化河西地税局,62,良,37 μg/m3,72 μg/m3,PM10
怀化林科所,43,优,28 μg/m3,42 μg/m3,
淮南师范学院,88,良,66 μg/m3,88 μg/m3,PM2.5
淮南潘集区政府,85,良,52 μg/m3,118 μg/m3,PM10
淮南八公山区政府,78,良,57 μg/m3,85 μg/m3,PM2.5
淮南焦岗湖风景区管理处,75,良,28 μg/m3,99 μg/m3,PM10
淮南谢家集区政府,75,良,52 μg/m3,99 μg/m3,PM10
淮南经开区消防队,106,轻度污染,62 μg/m3,160 μg/m3,PM10
黄山东路89号,45,优,20 μg/m3,44 μg/m3,
黄山延安路89号,44,优,26 μg/m3,43 μg/m3,
黄山区政府5号楼,42,优,17 μg/m3,41 μg/m3,
黄冈红卫路,54,良,18 μg/m3,57 μg/m3,PM10
黄冈职工中心,53,良,21 μg/m3,54 μg/m3,PM10
黄南州同仁县隆务镇,28,优,20 μg/m3,24 μg/m3,
黄石团城山,70,良,38 μg/m3,89 μg/m3,PM10
黄石笔架山北路,68,良,41 μg/m3,84 μg/m3,PM10
黄石陈家湾,68,良,38 μg/m3,85 μg/m3,PM10
黄石铁山,67,良,31 μg/m3,83 μg/m3,PM10
黄石沈家营,62,良,40 μg/m3,72 μg/m3,PM10
惠州河南岸金山湖子站,63,良,29 μg/m3,75 μg/m3,PM10
惠州江北云山西路子站,59,良,42 μg/m3,66 μg/m3,PM10
惠州大亚湾管委会子站,51,良,28 μg/m3,51 μg/m3,PM10
惠州惠阳区承修路船湖子站,50,优,31 μg/m3,49 μg/m3,
惠州下埔横江三路子站,-,-,-,-,-
葫芦岛新区,57,良,14 μg/m3,62 μg/m3,PM10
葫芦岛东城区,54,良,17 μg/m3,56 μg/m3,PM10
葫芦岛龙港区,43,优,15 μg/m3,42 μg/m3,
葫芦岛化工街,28,优,14 μg/m3,27 μg/m3,
呼伦贝尔国华电力东,17,优,12 μg/m3,16 μg/m3,
呼伦贝尔区环保局,13,优,5 μg/m3,13 μg/m3,
吉林东局子,31,优,22 μg/m3,25 μg/m3,
吉林哈达湾,24,优,11 μg/m3,24 μg/m3,
吉林九站,21,优,15 μg/m3,18 μg/m3,
吉林江北,20,优,14 μg/m3,-,
吉林江南公园,20,优,14 μg/m3,17 μg/m3,
吉林电力学院,17,优,12 μg/m3,15 μg/m3,
吉林丰满,11,优,8 μg/m3,10 μg/m3,
济南泰兴公司,62,良,44 μg/m3,72 μg/m3,PM10
济南技术学院,60,良,26 μg/m3,68 μg/m3,PM10
济南机床二厂,46,优,11 μg/m3,45 μg/m3,
济南开发区,45,优,6 μg/m3,44 μg/m3,
济南农科所,45,优,16 μg/m3,44 μg/m3,
济南长清党校,43,优,25 μg/m3,42 μg/m3,
济南市监测站,39,优,18 μg/m3,38 μg/m3,
济南科干所,37,优,15 μg/m3,36 μg/m3,
济南四建,30,优,21 μg/m3,29 μg/m3,
济南省种子仓库,23,优,11 μg/m3,23 μg/m3,
济南莱芜战役纪念馆,-,-,-,-,-
济宁市第七中学,67,良,48 μg/m3,49 μg/m3,PM2.5
济宁电化厂,41,优,24 μg/m3,40 μg/m3,
济宁火炬城,35,优,23 μg/m3,34 μg/m3,
锦州开发区,75,良,45 μg/m3,98 μg/m3,PM10
锦州北湖公园,58,良,6 μg/m3,65 μg/m3,PM10
锦州天安街道,44,优,14 μg/m3,43 μg/m3,
锦州南山,34,优,10 μg/m3,33 μg/m3,
锦州百股街道,33,优,11 μg/m3,32 μg/m3,
佳木斯四丰,9,优,5 μg/m3,9 μg/m3,
佳木斯十一中,17,优,12 μg/m3,16 μg/m3,
佳木斯发电厂,12,优,7 μg/m3,12 μg/m3,
佳木斯环保局,11,优,6 μg/m3,11 μg/m3,
佳木斯佳纺,11,优,6 μg/m3,11 μg/m3,
吉安青原区法院,61,良,40 μg/m3,70 μg/m3,PM10
吉安红声器材厂,60,良,36 μg/m3,68 μg/m3,PM10
吉安市森林工业局,58,良,38 μg/m3,65 μg/m3,PM10
吉安市环境监测站,56,良,34 μg/m3,60 μg/m3,PM10
江门东湖(对照点),76,良,56 μg/m3,58 μg/m3,PM2.5
江门西区,69,良,50 μg/m3,76 μg/m3,PM2.5
江门北街,65,良,47 μg/m3,55 μg/m3,PM2.5
江门圭峰西,64,良,46 μg/m3,76 μg/m3,PM10
江阴第二实验小学,39,优,26 μg/m3,38 μg/m3,
江阴虹桥邮政,28,优,18 μg/m3,27 μg/m3,
江阴五星公园,24,优,14 μg/m3,24 μg/m3,
胶南JN子站,52,良,20 μg/m3,53 μg/m3,PM10
胶南2号子站,47,优,27 μg/m3,46 μg/m3,
胶州环保局,44,优,20 μg/m3,43 μg/m3,
胶州一中,34,优,14 μg/m3,33 μg/m3,
焦作太极体育中心,62,良,20 μg/m3,73 μg/m3,PM10
焦作高新区政府,51,良,20 μg/m3,50 μg/m3,PM10
焦作市环保局,49,优,25 μg/m3,48 μg/m3,
焦作影视城(对照点),44,优,20 μg/m3,43 μg/m3,
嘉兴学院,29,优,14 μg/m3,28 μg/m3,
嘉兴南湖区残联,22,优,11 μg/m3,22 μg/m3,
嘉兴清河小学,22,优,12 μg/m3,22 μg/m3,
嘉峪关气象局,11,优,7 μg/m3,11 μg/m3,
嘉峪关酒钢宾馆,-,-,-,-,-
揭阳东兴,55,良,31 μg/m3,59 μg/m3,PM10
揭阳新兴,55,良,38 μg/m3,50 μg/m3,PM2.5
揭阳西马,47,优,33 μg/m3,46 μg/m3,
揭阳渔湖,47,优,32 μg/m3,46 μg/m3,
即墨环保局子站,56,良,39 μg/m3,61 μg/m3,PM10
即墨开发区子站,-,-,-,-,-
金昌公司二招,35,优,5 μg/m3,34 μg/m3,
金昌新川苑,24,优,7 μg/m3,24 μg/m3,
金昌市委党校,-,-,-,-,-
晋城白马寺,61,良,24 μg/m3,71 μg/m3,PM10
晋城市环保局,57,良,20 μg/m3,63 μg/m3,PM10
晋城白云商贸,52,良,13 μg/m3,52 μg/m3,PM10
晋城技术学院,45,优,18 μg/m3,44 μg/m3,
晋城泽州一中,45,优,21 μg/m3,44 μg/m3,
晋城自来水公司,41,优,29 μg/m3,-,
景德镇台达陶瓷,48,优,30 μg/m3,47 μg/m3,
景德镇兽医站,46,优,14 μg/m3,45 μg/m3,
景德镇陶研所,43,优,23 μg/m3,42 μg/m3,
景德镇王岗中学,37,优,26 μg/m3,26 μg/m3,
景德镇老干部活动中心,35,优,10 μg/m3,34 μg/m3,
荆门竹园小学,33,优,14 μg/m3,32 μg/m3,
荆门石化一小,32,优,9 μg/m3,31 μg/m3,
荆门掇刀,31,优,12 μg/m3,30 μg/m3,
荆门西山林语,29,优,12 μg/m3,28 μg/m3,
荆州市图书馆,53,良,18 μg/m3,54 μg/m3,PM10
荆州市委党校,40,优,13 μg/m3,39 μg/m3,
荆州管委会,39,优,22 μg/m3,38 μg/m3,
金华武警支队,43,优,21 μg/m3,42 μg/m3,
金华十五中,39,优,27 μg/m3,38 μg/m3,
金华监测站,31,优,22 μg/m3,28 μg/m3,
金坛市环境监测站,44,优,25 μg/m3,43 μg/m3,
金坛市自来水公司,38,优,23 μg/m3,37 μg/m3,
晋中锦纶小区,72,良,42 μg/m3,93 μg/m3,PM10
晋中榆次三中,69,良,45 μg/m3,86 μg/m3,PM10
晋中榆次区政府,63,良,45 μg/m3,73 μg/m3,PM2.5
晋中南都小区,58,良,41 μg/m3,62 μg/m3,PM2.5
九江茅山头,81,良,60 μg/m3,88 μg/m3,PM2.5
九江外国语学校,76,良,56 μg/m3,68 μg/m3,PM2.5
九江综合工业园,70,良,49 μg/m3,88 μg/m3,PM10
九江西园,69,良,50 μg/m3,85 μg/m3,PM2.5
九江五七二七厂,68,良,46 μg/m3,84 μg/m3,PM10
九江十里,67,良,46 μg/m3,82 μg/m3,PM10
九江石化总厂,64,良,46 μg/m3,69 μg/m3,PM2.5
九江庐山气象台(对照点),45,优,26 μg/m3,44 μg/m3,
酒泉富康家世界子站,30,优,6 μg/m3,29 μg/m3,
酒泉仓门街子站,22,优,9 μg/m3,22 μg/m3,
鸡西环保局,8,优,5 μg/m3,8 μg/m3,
鸡西气象局(对照点),6,优,-,6 μg/m3,
鸡西欧美日汽修厂,14,优,3 μg/m3,14 μg/m3,
鸡西市政设施管理处,11,优,4 μg/m3,11 μg/m3,
句容消防指挥中心,51,良,24 μg/m3,51 μg/m3,PM10
句容房家坝,41,优,26 μg/m3,40 μg/m3,
昆明呈贡新区,52,良,36 μg/m3,48 μg/m3,PM2.5
昆明碧鸡广场,45,优,15 μg/m3,44 μg/m3,
昆明官渡区博物馆,40,优,25 μg/m3,39 μg/m3,
昆明西山森林公园(对照点),37,优,21 μg/m3,36 μg/m3,
昆明龙泉镇,32,优,8 μg/m3,31 μg/m3,
昆明东风东路,31,优,21 μg/m3,30 μg/m3,
昆明金鼎山,24,优,17 μg/m3,18 μg/m3,
昆山震川中学,35,优,9 μg/m3,34 μg/m3,
昆山实验小学,32,优,-,31 μg/m3,
开封汴京公园,58,良,19 μg/m3,65 μg/m3,PM10
开封肿瘤医院,54,良,17 μg/m3,56 μg/m3,PM10
开封龙亭公园,52,良,20 μg/m3,53 μg/m3,PM10
开封世纪星幼儿园,-,-,-,-,-
库尔勒孔雀公园,83,良,38 μg/m3,115 μg/m3,PM10
库尔勒棉纺厂,72,良,42 μg/m3,92 μg/m3,PM10
库尔勒经济开发区,62,良,19 μg/m3,72 μg/m3,PM10
克州市人民政府,-,-,-,-,-
喀什地区吾办,80,良,52 μg/m3,108 μg/m3,PM10
喀什地区巡警大队,79,良,44 μg/m3,106 μg/m3,PM10
喀什地区市环境监测站,73,良,36 μg/m3,94 μg/m3,PM10
克拉玛依白碱滩区,64,良,24 μg/m3,77 μg/m3,PM10
克拉玛依乌尔禾区商贸楼,36,优,3 μg/m3,35 μg/m3,
克拉玛依长征新村,29,优,11 μg/m3,28 μg/m3,
克拉玛依独山子区,26,优,17 μg/m3,25 μg/m3,
克拉玛依南林小区,18,优,5 μg/m3,18 μg/m3,
洛阳凯旋路小学,54,良,15 μg/m3,56 μg/m3,PM10
洛阳河南林校,53,良,29 μg/m3,55 μg/m3,PM10
洛阳豫西宾馆,52,良,18 μg/m3,53 μg/m3,PM10
洛阳中信二小,52,良,17 μg/m3,53 μg/m3,PM10
洛阳市委新办公区,41,优,15 μg/m3,40 μg/m3,
洛阳市委党校,31,优,21 μg/m3,30 μg/m3,
洛阳开发区管委会,28,优,8 μg/m3,27 μg/m3,
拉萨火车站,51,良,6 μg/m3,51 μg/m3,PM10
拉萨区辐射站,44,优,12 μg/m3,43 μg/m3,
拉萨西藏大学,40,优,14 μg/m3,39 μg/m3,
拉萨区监测站,24,优,3 μg/m3,24 μg/m3,
拉萨市环保局,19,优,7 μg/m3,19 μg/m3,
拉萨八廓街,14,优,9 μg/m3,14 μg/m3,
连云港矿山设计院,39,优,19 μg/m3,38 μg/m3,
连云港德源药业(直管站),31,优,17 μg/m3,30 μg/m3,
连云港市环境监测站,28,优,20 μg/m3,27 μg/m3,
连云港胡沟管理处,23,优,14 μg/m3,23 μg/m3,
廊坊北华航天学院,36,优,14 μg/m3,35 μg/m3,
廊坊开发区,35,优,6 μg/m3,34 μg/m3,
廊坊河北工业大学,32,优,11 μg/m3,31 μg/m3,
廊坊药材公司,-,-,-,-,-
来宾来冶招待所,65,良,47 μg/m3,66 μg/m3,PM2.5
来宾二中,62,良,41 μg/m3,72 μg/m3,PM10
莱西人民广场子站,55,良,28 μg/m3,59 μg/m3,PM10
莱西环保局子站,53,良,31 μg/m3,54 μg/m3,PM10
莱州环保局,51,良,22 μg/m3,50 μg/m3,PM10
莱州外经委,42,优,26 μg/m3,41 μg/m3,
兰州生物制品所,39,优,6 μg/m3,38 μg/m3,
兰州兰炼宾馆,38,优,25 μg/m3,37 μg/m3,
兰州铁路设计院,37,优,8 μg/m3,36 μg/m3,
兰州教育港,36,优,8 μg/m3,35 μg/m3,
兰州榆中兰大校区(对照点),24,优,9 μg/m3,24 μg/m3,
乐山市第三水厂,39,优,17 μg/m3,38 μg/m3,
乐山市监测站,32,优,15 μg/m3,31 μg/m3,
乐山牛耳桥,30,优,21 μg/m3,22 μg/m3,
乐山花湖湾,22,优,10 μg/m3,22 μg/m3,
凉山州政府,33,优,17 μg/m3,32 μg/m3,
凉山州西昌市政府,32,优,20 μg/m3,31 μg/m3,
凉山州邛海宾馆,30,优,15 μg/m3,29 μg/m3,
凉山州青龙寺,23,优,16 μg/m3,17 μg/m3,
凉山州长安,-,-,-,-,-
聊城区政府,32,优,7 μg/m3,31 μg/m3,
聊城聊大东校,28,优,9 μg/m3,27 μg/m3,
聊城监控中心,19,优,8 μg/m3,19 μg/m3,
辽阳铁西工业园,61,良,43 μg/m3,60 μg/m3,PM2.5
辽阳新华园,59,良,36 μg/m3,67 μg/m3,PM10
辽阳滨河路,52,良,28 μg/m3,52 μg/m3,PM10
辽阳宏伟区,41,优,24 μg/m3,40 μg/m3,
辽源环保局,23,优,16 μg/m3,21 μg/m3,
辽源银鹰制药,21,优,15 μg/m3,17 μg/m3,
丽江古城,28,优,14 μg/m3,27 μg/m3,
丽江市中心,16,优,-,16 μg/m3,
丽江西南郊,15,优,6 μg/m3,15 μg/m3,
临安四中,58,良,26 μg/m3,64 μg/m3,PM10
临安市政府,-,-,-,-,-
临沧市环保局,26,优,7 μg/m3,25 μg/m3,
临沧市气象局,17,优,12 μg/m3,12 μg/m3,
临汾工商学校,66,良,19 μg/m3,81 μg/m3,PM10
临汾市委,61,良,30 μg/m3,71 μg/m3,PM10
临汾城南,55,良,38 μg/m3,43 μg/m3,PM2.5
临汾技工学校,53,良,34 μg/m3,54 μg/m3,PM10
临汾唐尧大酒店,51,良,20 μg/m3,50 μg/m3,PM10
临汾临钢医院,30,优,21 μg/m3,-,
临沂鲁南制药厂,58,良,25 μg/m3,64 μg/m3,PM10
临沂沂河小区,58,良,27 μg/m3,64 μg/m3,PM10
临沂新光毛纺厂,56,良,26 μg/m3,60 μg/m3,PM10
临沂河东保险公司,55,良,25 μg/m3,58 μg/m3,PM10
丽水余庄前,46,优,15 μg/m3,45 μg/m3,
丽水监测站大楼,36,优,16 μg/m3,35 μg/m3,
丽水莲都小学,32,优,19 μg/m3,31 μg/m3,
六安朝阳厂,68,良,33 μg/m3,84 μg/m3,PM10
六安开发区,67,良,38 μg/m3,82 μg/m3,PM10
六安皖西学院,67,良,33 μg/m3,83 μg/m3,PM10
六安监测大楼,62,良,37 μg/m3,72 μg/m3,PM10
